Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-01-02,72.40052032470703,72.46078378305016,71.15668166173941,71.40978524422886,135480400
2020-01-03,71.69664764404297,72.45596582996416,71.47246932030643,71.62915285765841,146322800
2020-01-06,72.26793670654297,72.3065062028637,70.56851011431775,70.81920816221287,118387200
2020-01-07,71.92805480957031,72.53309491165653,71.70869494472285,72.2775784441153,108872000
2020-01-08,73.0851058959961,73.38642316119072,71.63155170295238,71.63155170295238,132079200
2020-01-09,74.63750457763672,74.83034471463299,73.81069163960515,74.06138234642438,170108400
2020-01-10,74.80622863769531,75.37030104945943,74.30483992947904,74.87131787710281,140644800
2020-01-13,76.40440368652344,76.43092342751396,75.00388181987825,75.12200317385458,121532000
2020-01-14,75.37272644042969,76.55148346044966,75.24979396232517,76.34176775906714,161954400
2020-01-15,75.04969024658203,76.05247495120804,74.61820187883205,75.17263004032235,121923600
2020-01-16,75.98979949951172,76.10068954693726,75.23048148138665,75.5920621906251,108829200
2020-01-17,76.83109283447266,76.83349837052724,75.93195936574989,76.23809509330889,137816400
2020-01-21,76.3104248046875,76.90100236781842,76.1730223343127,76.45987702591754,110843200
2020-01-22,76.58280181884766,77.13480977194556,76.48878729766383,76.79492300181599,101832400
2020-01-23,76.95161437988281,77.03115890447519,76.08863757604202,76.63583446102108,104472000
2020-01-24,76.7298355102539,77.93992295405599,76.5394009459346,77.1974804769854,146537600
2020-01-27,74.47357940673828,75.15334557711078,73.49248860994267,74.74114561147599,161940000
2020-01-28,76.58039093017578,76.7515370876536,75.25459488094803,75.35342783283777,162234000
2020-01-29,78.18340301513672,79.02950436307852,77.46988569545148,78.20992276333985,216229200
2020-01-30,78.07008361816406,78.12311574202653,76.83588948795824,77.26737779773116,126743200
2020-01-31,74.60856628417969,77.78324080814086,74.31448034488959,77.36139664518089,199588400
2020-02-03,74.40367126464844,75.56795795185045,72.85128411079334,73.35267280813538,173788400
2020-02-04,76.86003112792969,77.05046575296248,75.60172957976908,76.00669833273602,136616400
2020-02-05,77.48675537109375,78.28464294726993,76.88412080562057,77.98573120045752,118826800
2020-02-06,78.39310455322266,78.39551744527337,77.19989265225486,77.75672634398214,105425600
2020-02-07,77.32754516601562,78.141823360646,76.83704482888538,77.89294895065062,117684000
2020-02-10,77.69481658935547,77.69481658935547,75.83430131081457,75.914034625019,109348800
2020-02-11,77.2260513305664,78.26262851927434,77.00858949259958,78.19014369789785,94323200
2020-02-12,79.06000518798828,79.06483505188083,77.67548599053883,77.67548599053883,113730400
2020-02-13,78.49698638916016,78.8231827517843,78.12971776259822,78.33268258573789,94747600
2020-02-14,78.51634979248047,78.76522420824622,78.00893385896474,78.4656030374421,80113600
2020-02-18,77.07865142822266,77.25987082813228,76.01791033464364,76.19912973455325,152531200
2020-02-19,78.19497680664062,78.4245243735885,77.32029218115534,77.32029218115534,93984000
2020-02-20,77.3927993774414,78.44387387788015,76.88780195801438,77.95579204697857,100566000
2020-02-21,75.64097595214844,77.42901329626612,75.0248329307541,76.98683382307465,129554000
2020-02-24,72.04801940917969,73.49777501677713,69.8854717188165,71.82572767869755,222195200
2020-02-25,69.60757446289062,73.09907108734735,69.13640846047264,72.7173054732624,230673600
2020-02-26,70.7118148803711,71.9755209333374,69.22581713906433,69.23306562077462,198054800
2020-02-27,66.08953094482422,69.10502562675568,65.9542209950426,67.92105987924694,320605600
2020-02-28,66.05086517333984,67.27108062705318,61.94564270332902,62.16069333508348,426510000
2020-03-02,72.20024108886719,72.83571844288954,67.10435128397388,68.20616489725688,341397200
2020-03-03,69.9072265625,73.45429398937054,69.05669843915538,73.37456066472664,319475600
2020-03-04,73.14981079101562,73.30928474411743,70.82778980651666,71.62757081642688,219178400
2020-03-05,70.77706909179688,72.37904277817594,70.41221158595323,71.40529059680607,187572800
2020-03-06,69.83714294433594,70.26965542799252,67.95246362121284,68.13851293457299,226176800
2020-03-09,64.31355285644531,67.19372873000741,63.547595701787884,63.72881508116561,286744800
2020-03-10,68.9455337524414,69.21132371848606,65.0867678159455,66.96420578722295,285290000
2020-03-11,66.551025390625,67.9500415324096,65.68841908631278,67.02461750309321,255598800
2020-03-12,59.97880172729492,65.23899909398826,59.92322879744106,61.8417392125565,418474000
2020-03-13,67.16475677490234,67.6359302649127,61.119275269390535,64.00429300943405,370732000
2020-03-16,58.524208068847656,62.60043194062402,57.99021323308223,58.46138297821733,322423600
2020-03-17,61.0975227355957,62.245242026979696,57.60361074150865,59.80482274842446,324056000
2020-03-18,59.60186004638672,60.40647473225053,57.29433197423103,57.934642818544056,300233600
2020-03-19,59.14519500732422,61.09269941838276,58.62086718026377,59.77583883377371,271857200
2020-03-20,55.39032745361328,60.848656123776394,55.09070998430256,59.72509337905043,401693200
2020-03-23,54.21360778808594,55.211524041383235,51.37208822817037,55.11004159498472,336752800
2020-03-24,59.65260314941406,59.8483195377774,56.612948896316425,57.11069765855371,287531200
2020-03-25,59.32398986816406,62.39988643227555,59.02920598580545,60.587692247407915,303602000
2020-03-26,62.44580078125,62.503788640032134,59.526959345508246,59.565620375975534,252087200
2020-03-27,59.86040496826172,61.82482113234886,59.69368249851185,61.07094946417779,204216800
2020-03-30,61.56870651245117,61.74026255580425,60.26150926393229,60.585290832590246,167976400
2020-03-31,61.44305419921875,63.424386025978244,60.88973245903772,61.75958725464871,197002000
2020-04-01,58.21010971069336,60.097207829556126,57.7800158056968,59.560797914440066,176218400
2020-04-02,59.181434631347656,59.23459262853542,57.241178794751,58.07237254686632,165934000
2020-04-03,58.330909729003906,59.36748322353769,57.7413419398106,58.66676958439928,129880000
2020-04-06,63.419559478759766,63.57419624282321,60.256676873255664,60.62394564001491,201820400
2020-04-07,62.68501663208008,65.64977167238716,62.581119246295906,65.43230242458398,202887200
2020-04-08,64.28939056396484,64.60350121398153,63.1199223551124,63.48477236807488,168895200
2020-04-09,64.7533187866211,65.25590475851683,63.95837493137018,64.92487847473,161834800
2020-04-13,66.02429962158203,66.13303426308396,64.23143158956411,64.83066667987022,131022800
2020-04-14,69.35871124267578,69.64866527052683,67.1840781553046,67.65525160710325,194994800
2020-04-15,68.72566223144531,69.18475002856255,67.80748663721087,68.23516188327974,131154400
2020-04-16,69.27174377441406,69.63660131632508,68.22308804264783,69.43846626880793,157125200
2020-04-17,68.331787109375,69.33454028123167,66.89652897721241,68.78846350317025,215250000
2020-04-20,66.91345977783203,68.06118282102301,66.89413295001411,67.15992291899424,130015200
2020-04-21,64.84513092041016,66.99076973874533,64.13475030153334,66.75639235940385,180991600
2020-04-22,66.71292114257812,67.14784486961675,65.77058148476895,66.11126755910753,116862400
2020-04-23,66.45439147949219,68.07811832327417,66.41573043870696,66.657356413235,124814400
2020-04-24,68.37287902832031,68.38254612868516,66.93037215656294,66.97870028455014,126161200
2020-04-27,68.42121887207031,68.7522452213369,67.64318307081028,68.09018514896542,117087600
2020-04-28,67.31214141845703,69.06392923095741,67.22032976851494,68.88270980207805,112004800
2020-04-29,69.52304077148438,69.9917957281478,68.5951979613223,68.79816288474782,137280800
2020-04-30,70.98967742919922,71.16606696831562,69.67282086621682,70.06183497622997,183064000
2020-05-01,69.8468017578125,72.24614521202258,69.06876605288338,69.16541493960355,240616800
2020-05-04,70.83505249023438,70.96311392727311,69.1823321546666,69.87096747127923,133568000
2020-05-05,71.89820098876953,72.72939466051092,71.1491592367676,71.2941362490643,147751200
2020-05-06,72.64000701904297,73.27064717863384,72.21474300795924,72.59892736503848,142333600
2020-05-07,73.39147186279297,73.7370026138725,72.96379653826914,73.26582900938926,115215200
2020-05-08,75.13829803466797,75.19159993074032,73.72338371341871,74.05046319414457,133838400
2020-05-11,76.32061767578125,76.81486350373997,74.4380975285037,74.64646215282984,145946400
2020-05-12,75.44841766357422,77.45449582037008,75.32727766040104,77.00385116379037,162301200
2020-05-13,74.5374526977539,76.54838146254056,73.46172873051864,75.62771287585991,200622400
2020-05-14,74.99535369873047,75.05592369907653,73.05468852162736,73.77668558751988,158929200
2020-05-15,74.55194854736328,74.59798232146535,72.73484923426915,72.768771970469,166348400
2020-05-18,76.30851745605469,76.6816307787651,75.18434194281018,75.87484151863012,135178400
2020-05-19,75.8675537109375,77.17101374486556,75.83605613168199,76.32545901161194,101729600
2020-05-20,77.34304809570312,77.41330397310716,76.68646396339064,76.72522965116472,111504800
2020-05-21,76.76642608642578,77.74523944094076,76.52898900422082,77.204952332668,102688800
2020-05-22,77.26066589355469,77.34304019898961,76.4029926993938,76.5047461498377,81803200
2020-05-26,76.73735809326172,78.55687612704607,76.68163102348302,78.37759126728832,125522000
2020-05-27,77.07169342041016,77.21706291080646,75.85545038481993,76.59440888025136,112945200
2020-05-28,77.10559844970703,78.36303205284943,76.4708261278027,76.7470214416537,133560800
2020-05-29,77.03050994873047,77.8082267406315,76.67435802451047,77.34789618259597,153532400
2020-06-01,77.97782135009766,78.09896135300481,76.8536385740957,76.98447184749915,80791200
2020-06-02,78.33879852294922,78.36302799682535,77.27034305104888,77.71129433668344,87642800
2020-06-03,78.77007293701172,79.03173947926652,78.08684155798949,78.65862620653965,104491200
2020-06-04,78.09168243408203,78.89120338502829,77.71856920653472,78.59320375117642,87560400
2020-06-05,80.3158187866211,80.37638878570603,78.31216587865904,78.34123829521202,137250400
2020-06-08,80.79068756103516,80.82461031040765,79.30309219050388,80.01297082329648,95654400
2020-06-09,83.3418960571289,83.7343884798814,80.43938634656227,80.47088393003234,147712400
2020-06-10,85.48607635498047,85.95367499163955,83.8506863159115,84.28921253488384,166651600
