Date,Close,High,Low,Open,Volume,Return,MA_20,MA_50,MA_200,Volatility,Momentum,MA_ratio,RSI,Volume_Change,Distance_to_MA
2020-10-15,117.1933822631836,117.66910513115165,114.70796452850907,115.26135855246798,112559200,-0.003960807825051371,111.41187210083008,113.51273330688477,85.80222221374511,0.027201653517671915,0.03356439560140845,0.9814922859766317,63.10224905765092,-0.2531503795318223,0.03242498748002209
2020-10-16,115.5526123046875,118.00891257285697,115.34873107903783,117.74677427764382,115393800,-0.014000534217976424,112.00312995910645,113.61608200073242,86.01798267364502,0.026218612823226607,0.05308772778339654,0.9858034882630825,56.510527061269116,0.025183192488930306,0.017044508751345583
2020-10-19,112.6011962890625,116.9118422011094,112.29051903948137,116.46524411778215,120639300,-0.025541750694850096,112.28953666687012,113.71059600830078,86.22250541687012,0.026436231368100308,-0.004463463324032579,0.9875028415001279,52.83361467779225,0.045457381592425294,-0.00975634424743757
2020-10-20,114.08659362792969,115.51376943296876,112.26135876123892,112.81475270532265,124423700,0.013191665700015953,112.56623344421386,113.80345932006836,86.43159870147706,0.02637800946365654,0.03844087875222857,0.9891283983523309,52.563329333864495,0.03136954541347636,0.0024879235618402947
2020-10-21,113.46524810791016,115.25164013400696,113.05747826966751,113.27107023085922,89946000,-0.005446262354417586,113.03953094482422,113.94899215698243,86.63928466796875,0.02429866961702811,0.015554274058876771,0.9920186989376327,50.121849721390575,-0.2770991378652138,-0.0042452683425741825
2020-10-22,112.37788391113281,114.60117079702067,111.2516743484804,114.02835526922215,101988000,-0.009583235527262146,113.40506286621094,114.0021955871582,86.83574855804443,0.024461672815180007,0.006784465290781139,0.9947620945555322,54.52434001157523,0.13388032819691809,-0.014248073624016732
2020-10-23,111.68858337402344,113.15459517987493,110.95072209723901,112.99925284491812,82572600,-0.006133773951950028,113.53904418945312,114.0027783203125,87.02100395202636,0.02319554995559573,-0.01649980453270483,0.9959322558827783,47.33577859668957,-0.19036945523002702,-0.020299460946354243
2020-10-26,111.6982650756836,113.15456575512079,109.5914777966803,110.68856238241843,111850700,8.668479237239346e-05,113.54341163635254,114.0055451965332,87.20546413421631,0.02258833503334423,-0.07516099307791202,0.9959463940163262,53.92600810190324,0.3545740354548603,-0.02023831487207145
2020-10-27,113.20311737060547,113.86330738232272,111.203133250019,112.12545415431511,92276800,0.013472476890328045,113.66525573730469,114.04423400878906,87.38945770263672,0.02269338904993078,-0.03715951082911395,0.9966769186116401,53.20673549737359,-0.17500024586345908,-0.007375354356966177
2020-10-28,107.96044921875,112.06722147724142,107.86336396260268,111.69829454102945,143937800,-0.046312047526853584,113.4414722442627,113.95952590942383,87.55239631652832,0.024790967997708163,-0.08243250130626323,0.9954540556304798,43.497776810355134,0.559848195862882,-0.052642169601880916
